Part,Price,Number,Total Price,Link
"36"" tubing, no holes",$20.43 ,4,$81.72 ,https://www.amazon.com/80-20-Smooth-Square-Profile/dp/B00J4SCV6U?ref_=ast_sto_dp&th=1
"36"" tubing, with holes",$22.95 ,3,$68.85 ,https://www.amazon.com/80-20-Smooth-Square-Profile/dp/B00J4SW764?ref_=ast_sto_dp
"72"" tubing, with holes",$43.11 ,2,$86.22 ,https://www.amazon.com/80-20-Smooth-Square-Profile/dp/B00J4SZOZ0?ref_=ast_sto_dp
4 inch casters (set of 4),$26.99 ,1,$26.99 ,https://www.amazon.com/PRITEK-Replacement-Industrial-Trailer-Furniture/dp/B07423NB6K/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.6175731f-d531-4ed6-a0c1-c24cade00aaf%3Aamzn1.sym.6175731f-d531-4ed6-a0c1-c24cade00aaf&crid=2E4FK5RWXT0RM&cv_ct_cx=4%2Binch%2Bcaster%2Bwheels&dib=eyJ2IjoiMSJ9.OKgXge6ckzjGyHCahegrs2KBkcmzKIaRXY9st42OglboM40kS4z6mMJ-VLkOMkBwrt66a4ktjUASmKWI6D9D7Q.FY6QDBOHQYWvj9mw4QIcouK1tbeBPKPmSLwKY-6Sbk0&dib_tag=se&keywords=4%2Binch%2Bcaster%2Bwheels&pd_rd_i=B07423NB6K&pd_rd_r=16982d20-17c4-4f40-a873-c6f748bc7477&pd_rd_w=ab2aw&pd_rd_wg=yQW72&pf_rd_p=6175731f-d531-4ed6-a0c1-c24cade00aaf&pf_rd_r=JVKY3YEQ95KYNZ4PGFAX&qid=1720901621&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=4%2Binch%2Bcaster%2Caps%2C97&sr=1-2-7efdef4d-9875-47e1-927f-8c2c1c47ed49-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1
T-brackets set,$39.99 ,1,$39.99 ,https://www.amazon.com/dp/B0B34HG1YD/?th=1
Small metal brackets set,$18.99 ,1,$18.99 ,https://www.amazon.com/Riuog-Brackets-Patterned-Bracket-Furniture/dp/B0B7N1QT6Z/?th=1
Springs (set of 10),$8.59 ,1,$8.59 ,https://www.amazon.com/uxcell-Diameter-Stainless-Extended-Compressed/dp/B07MP9TDSH/
M6 metal rod (set of 6),$7.49 ,1,$7.49 ,https://www.amazon.com/YXQ-M6x180mm-Double-Adjustable-Stainless/dp/B07QPCWPXQ/?th=1
WS2812B LED light strip (30 LEDs/m),$13.99 ,2,$27.98 ,https://www.amazon.com/SEZO-Individually-Addressable-Programmable-Non-Waterproof/dp/B097BX7P3V/?th=1
Square magnets (set of 50),$13.99 ,5,$69.95 ,https://www.amazon.com/LOVIMAG-Neodymium-Magnets-Whiteboard-Science/dp/B0CP1N6432/
